,PLAYER,TEAM,AGE,GP,W,L,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS
338,Santi Aldama,MEM,20,16,9,7,156.0,19.2,17.8,21.3,7.5,20.1,20.6,19.4,27.6,22.6,24.3,14.6,10.9,5.3,14.3,14.3,30.9,17.8,16.9
339,Trey Burke,DAL,29,16,5,11,203.0,27.4,28.8,29.9,26.3,27.5,21.2,18.1,4.8,10.2,9.6,31.6,25.9,21.2,0.0,25.0,16.5,19.8,27.4
340,Andre Iguodala,GSW,37,15,12,3,299.0,10.7,9.6,11.3,7.3,13.2,6.6,7.0,19.0,17.9,18.2,33.9,11.2,17.2,31.6,3.6,12.2,17.9,8.9
341,Ben McLemore,POR,28,15,5,10,194.0,19.3,26.1,22.4,54.7,40.3,9.0,8.1,12.5,8.2,9.0,10.6,14.5,18.2,0.0,5.3,16.5,13.8,27.0
342,Jaylen Brown,BOS,25,15,7,8,490.0,27.1,29.1,27.7,29.9,26.9,27.7,28.6,7.8,19.2,16.8,15.2,27.7,23.0,10.4,26.9,21.7,27.9,29.0
343,Jaylen Nowell,MIN,22,15,9,6,115.0,23.1,24.7,28.0,24.0,24.3,5.1,7.5,9.7,13.2,12.3,27.1,8.6,26.3,28.6,23.1,14.9,4.8,21.7
344,Juancho Hernangomez,BOS,26,15,8,7,63.0,16.1,8.9,15.1,11.8,21.1,19.0,19.2,27.3,26.8,27.0,4.0,25.0,40.0,0.0,0.0,17.4,14.3,10.9
345,Khem Birch,TOR,29,15,7,8,344.0,12.1,13.8,12.1,0.0,2.4,21.2,21.4,40.7,17.1,25.4,13.1,8.9,21.4,26.9,10.3,18.6,19.6,13.4
346,Luka Garza,DET,22,15,0,15,143.0,16.1,19.0,17.2,15.8,13.6,20.4,21.2,42.4,19.5,25.8,10.9,12.3,18.8,16.7,46.7,40.0,26.2,18.8
347,Nerlens Noel,NYK,27,15,6,9,345.0,7.9,7.8,7.0,0.0,0.8,9.4,9.9,52.2,22.0,28.6,7.4,14.3,25.4,58.8,10.3,26.2,18.2,7.1
348,Nicolas Batum,LAC,33,15,10,5,400.0,11.8,15.4,13.1,28.8,22.7,4.0,6.6,10.9,24.7,22.2,11.4,9.8,21.8,31.6,3.4,13.0,6.1,15.5
349,OG Anunoby,TOR,24,15,7,8,560.0,23.4,24.1,25.3,30.1,29.8,20.8,19.6,17.1,16.1,16.4,16.9,16.6,18.9,17.6,33.3,18.6,19.0,24.3
350,Paul Reed,PHI,22,15,7,8,142.0,12.5,14.9,13.8,0.0,3.8,0.0,0.0,37.2,27.2,30.6,11.8,13.6,42.9,47.4,33.3,34.4,8.5,11.8
351,Rajon Rondo,LAL,35,15,5,10,231.0,16.2,11.7,15.5,13.6,15.1,0.0,0.0,17.4,17.8,17.7,47.2,32.1,28.2,10.3,19.0,20.6,7.4,10.1
352,Talen Horton-Tucker,LAL,21,15,8,7,432.0,19.3,17.9,20.4,14.9,19.1,17.1,14.6,12.4,17.3,16.3,19.1,17.7,24.4,17.8,19.4,28.8,13.7,17.5
353,Theo Maledon,OKC,20,15,3,12,173.0,16.2,8.0,13.9,7.5,18.9,26.0,22.7,17.6,14.1,14.8,22.4,29.4,21.7,11.8,9.5,18.8,22.4,10.6
354,Abdel Nader,PHX,28,14,11,3,145.0,13.9,10.1,13.3,10.5,13.6,17.1,20.8,13.8,20.5,19.1,10.1,17.5,28.6,26.7,18.2,27.0,23.3,10.9
355,Boban Marjanovic,DAL,33,14,7,7,85.0,30.8,40.8,32.2,5.3,6.0,24.0,33.3,33.3,33.3,33.3,4.3,30.0,0.0,40.0,33.3,44.4,35.9,35.2
356,CJ Elleby,POR,21,14,6,8,75.0,15.3,19.2,16.9,26.7,22.2,0.0,0.0,13.3,30.2,26.5,12.1,22.6,0.0,0.0,0.0,35.5,2.7,16.6
357,Damian Jones,SAC,26,14,5,9,125.0,12.9,15.0,11.1,3.0,2.2,24.0,24.7,51.9,28.7,34.2,14.3,16.3,6.7,36.4,23.1,32.1,25.0,15.2
358,Elfrid Payton,PHX,27,14,10,4,173.0,17.3,16.1,17.7,3.3,4.0,8.5,12.5,17.6,15.4,16.0,40.5,22.0,20.0,16.7,36.0,13.1,13.4,13.8
359,Joe Harris,BKN,30,14,10,4,423.0,14.6,15.8,16.6,30.8,26.7,4.1,3.8,8.9,15.6,14.7,6.1,11.0,11.1,5.6,14.3,18.3,6.0,16.4
360,Justin Champagnie,TOR,20,14,8,6,95.0,12.0,13.8,13.2,0.0,9.0,24.1,18.4,32.4,10.1,17.9,2.1,0.0,12.5,20.0,9.1,35.5,14.7,13.3
361,Miye Oni,UTA,24,14,13,1,41.0,8.4,6.9,11.1,9.1,20.0,0.0,6.7,0.0,14.7,12.5,27.8,5.9,0.0,0.0,0.0,25.0,11.1,6.3
362,Moses Brown,DAL,22,14,7,7,88.0,19.8,20.0,15.6,0.0,0.0,46.5,49.2,58.8,25.7,31.9,0.0,18.8,18.8,42.9,25.0,45.2,46.7,24.1
363,Mychal Mulder,ORL,27,14,1,13,166.0,16.8,14.2,18.6,26.1,25.8,4.3,3.2,7.7,14.0,12.8,4.2,15.9,16.7,7.7,28.6,15.2,5.6,14.5
364,Quentin Grimes,NYK,21,14,6,8,119.0,17.2,19.3,18.5,50.0,32.0,4.3,3.6,8.7,13.8,12.6,10.3,24.2,15.0,12.5,0.0,23.3,2.2,20.2
